p,m,p,distribution,method,convergence rate,mean of a,median of a,max of a,min of a,rmse,bias of se,Type I error rate of  T,Type I error rate of T_SB,Type I error rate of T_JY,Type I error rate of T_MVA
5,1,40,normal,gls,1,1,1,1,1,0.241588222,0.092419437,0.052,0.067,0.067,0.05
5,1,40,normal,dls,1,0.998061393,0.998763851,1,0.983363411,0.241543469,0.092703661,0.052,0.067,0.067,0.05
5,1,40,normal,wls,0.999,0,0,0,0,0.274486767,0.256231594,0.115115115,0.115115115,0.115115115,0.115115115
5,1,40,elliptical,gls,0.999,1,1,1,1,0.348984123,0.248997216,0.233233233,0.077077077,0.077077077,0.036036036
5,1,40,elliptical,dls,1,0.974968619,0.982673143,1,0.605204629,0.313587973,0.202159112,0.23,0.065,0.065,0.032
5,1,40,elliptical,wls,0.997,0,0,0,0,0.35744618,0.337014027,0.085255767,0.085255767,0.085255767,0.085255767
5,1,40,skewed,gls,0.997,1,1,1,1,0.587388896,0.383456221,0.230692076,0.056168506,0.056168506,0.017051153
5,1,40,skewed,dls,0.998,0.931365736,0.944173068,0.991773238,0.454743769,0.511896614,0.372887825,0.211422846,0.039078156,0.039078156,0.014028056
5,1,40,skewed,wls,0.989,0,0,0,0,0.506581396,0.434355084,0.06471183,0.06471183,0.06471183,0.06471183
5,1,60,normal,gls,1,1,1,1,1,0.184156281,0.06507022,0.05,0.062,0.062,0.045
5,1,60,normal,dls,1,0.998796329,0.999303302,1,0.99071084,0.184143395,0.065202289,0.05,0.062,0.062,0.045
5,1,60,normal,wls,1,0,0,0,0,0.213244237,0.197737536,0.081,0.081,0.081,0.081
5,1,60,elliptical,gls,1,1,1,1,1,0.295212314,0.212336909,0.266,0.057,0.057,0.022
5,1,60,elliptical,dls,1,0.977523761,0.985666993,1,0.731449247,0.265523609,0.168518896,0.259,0.052,0.052,0.02
5,1,60,elliptical,wls,1,0,0,0,0,0.293471521,0.253444211,0.07,0.07,0.07,0.07
5,1,60,skewed,gls,1,1,1,1,1,0.538724355,0.346299165,0.232,0.052,0.052,0.018
5,1,60,skewed,dls,0.999,0.902724852,0.922629762,0.995022889,0.411869049,0.433984506,0.298884324,0.178178178,0.041041041,0.041041041,0.014014014
5,1,60,skewed,wls,0.995,0,0,0,0,0.452924084,0.366066278,0.044221106,0.044221106,0.044221106,0.044221106
5,1,100,normal,gls,1,1,1,1,1,0.140541531,0.035097292,0.049,0.05,0.05,0.04
5,1,100,normal,dls,1,0.998814458,0.999370873,1,0.990581511,0.140532417,0.035163769,0.049,0.05,0.05,0.04
5,1,100,normal,wls,1,0,0,0,0,0.147640902,0.098777581,0.072,0.072,0.072,0.072
5,1,100,elliptical,gls,1,1,1,1,1,0.240755808,0.156784305,0.321,0.049,0.049,0.023
5,1,100,elliptical,dls,1,0.966868289,0.97903015,1,0.661476998,0.218872826,0.119874881,0.3,0.042,0.042,0.021
5,1,100,elliptical,wls,1,0,0,0,0,0.240235271,0.195715329,0.051,0.051,0.051,0.051
5,1,100,skewed,gls,1,1,1,1,1,0.425030802,0.323720438,0.256,0.046,0.046,0.02
5,1,100,skewed,dls,0.996,0.803909059,0.834910695,0.974656392,0.065231084,0.348737867,0.264339488,0.15562249,0.039156627,0.039156627,0.020080321
5,1,100,skewed,wls,0.998,0,0,0,0,0.384680035,0.337386995,0.04509018,0.04509018,0.04509018,0.04509018
5,1,200,normal,gls,1,1,1,1,1,0.102649471,0.028460005,0.051,0.058,0.058,0.05
5,1,200,normal,dls,1,0.999019109,0.99976071,1,0.988540951,0.102647279,0.028494025,0.051,0.058,0.058,0.05
5,1,200,normal,wls,1,0,0,0,0,0.105969391,0.066623212,0.069,0.069,0.069,0.069
5,1,200,elliptical,gls,1,1,1,1,1,0.166413247,0.126661748,0.349,0.055,0.055,0.038
5,1,200,elliptical,dls,1,0.918872857,0.940394912,1,0.289503805,0.149674333,0.082999284,0.282,0.053,0.053,0.037
5,1,200,elliptical,wls,1,0,0,0,0,0.163878588,0.122170203,0.057,0.057,0.057,0.057
5,1,200,skewed,gls,1,1,1,1,1,0.308599947,0.248358745,0.303,0.044,0.044,0.021
5,1,200,skewed,dls,1,0.56066257,0.585402816,0.912231747,0.038022379,0.259950298,0.213196819,0.11,0.043,0.043,0.037
5,1,200,skewed,wls,0.999,0,0,0,0,0.278412259,0.239082662,0.051051051,0.051051051,0.051051051,0.051051051
5,1,300,normal,gls,1,1,1,1,1,0.084666054,0.022014496,0.054,0.057,0.057,0.053
5,1,300,normal,dls,1,0.999079164,0.999828386,1,0.98977325,0.084665034,0.022017856,0.054,0.057,0.057,0.052
5,1,300,normal,wls,1,0,0,0,0,0.086355567,0.033356536,0.059,0.059,0.059,0.059
5,1,300,elliptical,gls,1,1,1,1,1,0.147596333,0.139603082,0.387,0.053,0.053,0.035
5,1,300,elliptical,dls,1,0.850109591,0.883556843,0.991419202,0.07280731,0.127336569,0.07589719,0.251,0.045,0.045,0.036
5,1,300,elliptical,wls,1,0,0,0,0,0.136299126,0.101341466,0.042,0.042,0.042,0.042
5,1,300,skewed,gls,1,1,1,1,1,0.264392498,0.223883772,0.312,0.046,0.046,0.027
5,1,300,skewed,dls,1,0.429898861,0.435978573,0.796840976,0.03180402,0.226453482,0.179672956,0.104,0.051,0.051,0.048
5,1,300,skewed,wls,1,0,0,0,0,0.2341455,0.187335313,0.07,0.07,0.07,0.07
5,1,500,normal,gls,1,1,1,1,1,0.063669091,0.019236093,0.057,0.061,0.061,0.057
5,1,500,normal,dls,1,0.99898959,0.999881133,1,0.9894678,0.063668986,0.019237029,0.057,0.061,0.061,0.057
5,1,500,normal,wls,1,0,0,0,0,0.064443568,0.02209918,0.057,0.057,0.057,0.057
5,1,500,elliptical,gls,1,1,1,1,1,0.11145354,0.107347546,0.438,0.038,0.038,0.028
5,1,500,elliptical,dls,1,0.740703888,0.774832851,0.960682804,0.033804015,0.100468286,0.071143594,0.25,0.045,0.045,0.04
5,1,500,elliptical,wls,1,0,0,0,0,0.108312203,0.1005516,0.047,0.047,0.047,0.047
5,1,500,skewed,gls,1,1,1,1,1,0.206713994,0.208659716,0.358,0.048,0.048,0.029
5,1,500,skewed,dls,0.999,0.251551856,0.249259047,0.571734421,0.015929892,0.183609537,0.168717148,0.072072072,0.043043043,0.043043043,0.043043043
5,1,500,skewed,wls,0.999,0,0,0,0,0.189179937,0.179203917,0.052052052,0.052052052,0.052052052,0.052052052
5,1,1000,normal,gls,1,1,1,1,1,0.048507177,0.02005073,0.056,0.058,0.058,0.058
5,1,1000,normal,dls,1,0.999043828,0.9999714,1,0.992068085,0.048507234,0.020050519,0.056,0.058,0.058,0.058
5,1,1000,normal,wls,1,0,0,0,0,0.048810042,0.020720046,0.062,0.062,0.062,0.062
5,1,1000,elliptical,gls,1,1,1,1,1,0.073407629,0.043839624,0.412,0.048,0.048,0.035
5,1,1000,elliptical,dls,1,0.529432099,0.545076704,0.860070664,0.088710556,0.070018316,0.033259622,0.137,0.046,0.046,0.045
5,1,1000,elliptical,wls,1,0,0,0,0,0.07293225,0.047447625,0.046,0.046,0.046,0.046
5,1,1000,skewed,gls,1,1,1,1,1,0.151812409,0.156064817,0.37,0.043,0.043,0.03
5,1,1000,skewed,dls,1,0.103213563,0.097020028,0.285674368,0.007430678,0.136211409,0.113027174,0.048,0.039,0.039,0.039
5,1,1000,skewed,wls,1,0,0,0,0,0.13702005,0.114610475,0.037,0.037,0.037,0.037
15,3,40,normal,gls,1,1,1,1,1,0.244975295,0.109427106,0.047,0.14,0.029,0.003
15,3,40,normal,dls,1,0.998476158,0.998501535,0.99950529,0.997247797,0.250888225,0.136198875,0.047,0.144,0.033,0.003
NA,NA,NA,normal,wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
