p,m,n,q,df,skewness,kurtosis,distribution,method,convergence rate,mean of a,median of a,max of a,min of a,rmse,biase of se,Type I error rate of T,Type I error rate of T_SB,Type I error rate of T_JY
5,1,40,10,5,0.915569725,0.950877272,normal,gls,1,1,1,1,1,0.241588222,0.016444802,0.052,0.067,0.067
5,1,40,10,5,0.915569725,0.950877272,normal,dls,1,0.985682768,1,1,0.724398864,0.241520781,0.017311454,0.052,0.069,0.069
5,1,40,10,5,0.915751922,0.950965836,normal,wls,0.999,0,0,0,0,0.274486767,0.07429497,0.115115115,0.115115115,0.115115115
5,1,40,10,5,2.360763508,1.281869513,elliptical,gls,0.999,1,1,1,1,0.348984123,0.035356461,0.233233233,0.077077077,0.077077077
5,1,40,10,5,2.362429158,1.281957446,elliptical,dls,1,0.918907331,0.92708551,1,0.506262136,0.310369391,0.06982248,0.236,0.066,0.066
5,1,40,10,5,2.357810945,1.281086625,elliptical,wls,0.997,0,0,0,0,0.35744618,0.198137785,0.085255767,0.085255767,0.085255767
5,1,40,10,5,5.457943525,1.690646682,skewed,gls,0.997,1,1,1,1,0.587388896,0.072229423,0.230692076,0.056168506,0.056168506
5,1,40,10,5,5.463536255,1.691804361,skewed,dls,0.999,0.867202217,0.885239792,1,0.423641513,0.514377216,0.126747255,0.206206206,0.039039039,0.039039039
5,1,40,10,5,5.446462489,1.689176649,skewed,wls,0.989,0,0,0,0,0.506581396,0.277082166,0.06471183,0.06471183,0.06471183
5,1,60,10,5,0.93359975,0.966881275,normal,gls,1,1,1,1,1,0.184156281,0.011491888,0.05,0.062,0.062
5,1,60,10,5,0.93359975,0.966881275,normal,dls,1,0.977278496,1,1,0.693954639,0.184044145,0.012383039,0.05,0.063,0.063
5,1,60,10,5,0.93359975,0.966881275,normal,wls,1,0,0,0,0,0.213244237,0.053047933,0.081,0.081,0.081
5,1,60,10,5,3.193263055,1.412205781,elliptical,gls,1,1,1,1,1,0.295212314,0.024600858,0.266,0.057,0.057
5,1,60,10,5,3.193263055,1.412205781,elliptical,dls,1,0.944528815,0.952010729,1,0.68378311,0.265285854,0.045566549,0.26,0.049,0.049
5,1,60,10,5,3.193263055,1.412205781,elliptical,wls,1,0,0,0,0,0.293471521,0.157246735,0.07,0.07,0.07
5,1,60,10,5,9.636303269,2.022776576,skewed,gls,1,1,1,1,1,0.538724355,0.049862235,0.232,0.052,0.052
5,1,60,10,5,9.636303269,2.022776576,skewed,dls,1,0.850742879,0.875401656,1,0.444713002,0.455089913,0.103300338,0.192,0.041,0.041
5,1,60,10,5,9.63176851,2.022259235,skewed,wls,0.995,0,0,0,0,0.452924084,0.225225647,0.044221106,0.044221106,0.044221106
5,1,100,10,5,0.961986867,0.981069412,normal,gls,1,1,1,1,1,0.140541531,0.005206499,0.049,0.05,0.05
5,1,100,10,5,0.961986867,0.981069412,normal,dls,1,0.956599171,1,1,0.678736972,0.14033318,0.006355077,0.051,0.052,0.052
5,1,100,10,5,0.961986867,0.981069412,normal,wls,1,0,0,0,0,0.147640902,0.030032107,0.072,0.072,0.072
5,1,100,10,5,4.805663113,1.597557892,elliptical,gls,1,1,1,1,1,0.240755808,0.01672895,0.321,0.049,0.049
5,1,100,10,5,4.805663113,1.597557892,elliptical,dls,1,0.919315763,0.934931403,1,0.635833203,0.221641464,0.036393813,0.302,0.037,0.037
5,1,100,10,5,4.805663113,1.597557892,elliptical,wls,1,0,0,0,0,0.240235271,0.114403353,0.051,0.051,0.051
5,1,100,10,5,18.37269637,2.461523595,skewed,gls,1,1,1,1,1,0.425030802,0.0291131,0.256,0.046,0.046
5,1,100,10,5,18.36798051,2.461313912,skewed,dls,0.999,0.801886008,0.820504442,0.962355784,0.443640839,0.386982502,0.074803679,0.199199199,0.038038038,0.038038038
5,1,100,10,5,18.34090915,2.459201515,skewed,wls,0.998,0,0,0,0,0.384680035,0.174512013,0.04509018,0.04509018,0.04509018
