p,m,p,distribution,method,convergence rate,mean of a,median of a,max of a,min of a,rmse,bias of se,Type I error rate of  T,Type I error rate of T_SB,Type I error rate of T_JY,Type I error rate of T_MVA
1,5,40,vm1,1,1,1,1,1,1,0.398506666,0.257105819,0.224,0.082,0.082,0.035
2,5,40,vm1,1,0.999,0.965822488,0.972269651,1,0.79128469,0.376634955,0.246700632,0.226226226,0.067067067,0.067067067,0.034034034
3,5,40,vm1,1,0.994,0,0,0,0,0.427106169,0.381781168,0.072434608,0.072434608,0.072434608,0.072434608
1,5,40,vm2,1,1,1,1,1,1,0.510840267,0.347263046,0.365,0.091,0.091,0.037
2,5,40,vm2,1,0.995,0.932599741,0.940255023,0.999597824,0.679800369,0.410730753,0.296714899,0.353768844,0.055276382,0.055276382,0.026130653
3,5,40,vm2,1,0.997,0,0,0,0,0.490004121,0.406968071,0.049147442,0.049147442,0.049147442,0.049147442
1,5,60,vm1,1,1,1,1,1,1,0.324260571,0.221432565,0.317,0.078,0.078,0.041
2,5,60,vm1,1,1,0.957880422,0.965779879,1,0.793991836,0.300955375,0.200268305,0.312,0.07,0.07,0.036
3,5,60,vm1,1,0.999,0,0,0,0,0.356154063,0.323319252,0.057057057,0.057057057,0.057057057,0.057057057
1,5,60,vm2,1,1,1,1,1,1,0.399199925,0.281539444,0.373,0.084,0.084,0.044
2,5,60,vm2,1,0.998,0.923258481,0.932663275,0.993663117,0.707344822,0.364730908,0.28217615,0.342685371,0.049098196,0.049098196,0.028056112
3,5,60,vm2,1,0.999,0,0,0,0,0.422471689,0.36726688,0.041041041,0.041041041,0.041041041,0.041041041
1,5,100,vm1,1,1,1,1,1,1,0.25102528,0.163419935,0.39,0.069,0.069,0.035
2,5,100,vm1,1,1,0.923484076,0.93320123,0.992575538,0.699105241,0.235392509,0.155751844,0.346,0.058,0.058,0.036
3,5,100,vm1,1,0.999,0,0,0,0,0.278697135,0.262003473,0.06006006,0.06006006,0.06006006,0.06006006
1,5,100,vm2,1,1,1,1,1,1,0.339454145,0.233394655,0.332,0.077,0.077,0.039
2,5,100,vm2,1,0.999,0.865491158,0.878008362,0.983705235,0.582650326,0.302165917,0.217484376,0.27027027,0.047047047,0.047047047,0.028028028
3,5,100,vm2,1,1,0,0,0,0,0.346698613,0.298677104,0.033,0.033,0.033,0.033
1,5,200,vm1,1,1,1,1,1,1,0.180086702,0.095844737,0.402,0.055,0.055,0.033
2,5,200,vm1,1,1,0.812221618,0.825697691,0.959642437,0.44635802,0.172589808,0.098974109,0.279,0.043,0.043,0.038
3,5,200,vm1,1,1,0,0,0,0,0.198111575,0.170825569,0.048,0.048,0.048,0.048
1,5,200,vm2,1,1,1,1,1,1,0.240920642,0.182221763,0.501,0.06,0.06,0.029
2,5,200,vm2,1,1,0.654637414,0.663719323,0.90931601,0.346985433,0.227467425,0.19395208,0.23,0.037,0.037,0.029
3,5,200,vm2,1,1,0,0,0,0,0.255719871,0.235890109,0.046,0.046,0.046,0.046
1,5,300,vm1,1,1,1,1,1,1,0.150396344,0.065443823,0.338,0.051,0.051,0.038
2,5,300,vm1,1,1,0.703589972,0.715942574,0.933129004,0.324227245,0.144790693,0.06943245,0.196,0.046,0.046,0.043
3,5,300,vm1,1,1,0,0,0,0,0.159073508,0.11231772,0.05,0.05,0.05,0.05
1,5,300,vm2,1,1,1,1,1,1,0.201720799,0.134767714,0.581,0.05,0.05,0.027
2,5,300,vm2,1,1,0.460916108,0.456077183,0.776321811,0.153278502,0.199841494,0.159080793,0.151,0.038,0.038,0.037
3,5,300,vm2,1,1,0,0,0,0,0.213982242,0.182660145,0.037,0.037,0.037,0.037
1,5,500,vm1,1,1,1,1,1,1,0.11771971,0.05490085,0.408,0.058,0.058,0.038
2,5,500,vm1,1,1,0.511666151,0.51307569,0.796066829,0.206303832,0.118352319,0.08332226,0.163,0.048,0.048,0.047
3,5,500,vm1,1,1,0,0,0,0,0.125413865,0.108771827,0.053,0.053,0.053,0.053
1,5,500,vm2,1,1,1,1,1,1,0.15560912,0.097166111,0.596,0.049,0.049,0.022
2,5,500,vm2,1,1,0.259163785,0.253895516,0.582475937,0.085957265,0.165052509,0.153238704,0.102,0.047,0.047,0.047
3,5,500,vm2,1,1,0,0,0,0,0.169988034,0.162777502,0.047,0.047,0.047,0.047
1,5,1000,vm1,1,1,1,1,1,1,0.087411844,0.033436424,0.385,0.048,0.048,0.039
2,5,1000,vm1,1,1,0.294302485,0.292577644,0.54607253,0.116056082,0.088351074,0.052194011,0.093,0.044,0.044,0.044
3,5,1000,vm1,1,1,0,0,0,0,0.090086022,0.059445121,0.046,0.046,0.046,0.046
1,5,1000,vm2,1,1,1,1,1,1,0.108657284,0.067273683,0.668,0.054,0.054,0.032
2,5,1000,vm2,1,1,0.105074063,0.102246141,0.244410205,0.025787506,0.116066716,0.1065436,0.074,0.054,0.054,0.054
3,5,1000,vm2,1,1,0,0,0,0,0.117107295,0.109376228,0.055,0.055,0.055,0.055
1,15,40,vm1,1,0.998,1,1,1,1,0.401348799,0.280892817,0.630260521,0.208416834,0.052104208,0
2,15,40,vm1,1,0.997,0.993965202,0.994176091,0.997747624,0.986463414,0.39292412,0.298665591,0.642928786,0.221664995,0.05115346,0
3,NA,NA,vm1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15,40,vm2,1,0.998,1,1,1,1,0.463927787,0.345107682,0.716432866,0.318637275,0.086172345,0.001002004
2,15,40,vm2,1,1,0.990644688,0.991464716,0.99666495,0.822618009,0.416345008,0.328121422,0.744,0.278,0.063,0.001
3,NA,NA,vm2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15,60,vm1,1,1,1,1,1,1,0.316631281,0.223803203,0.765,0.132,0.07,0.001
2,15,60,vm1,1,0.999,0.993857803,0.994045507,0.99772018,0.985026319,0.305790322,0.22831722,0.765765766,0.129129129,0.068068068,0.001001001
3,NA,NA,vm1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15,60,vm2,1,0.999,1,1,1,1,0.393504002,0.303573339,0.743743744,0.197197197,0.104104104,0
2,15,60,vm2,1,1,0.991503277,0.99177846,0.996951894,0.982949778,0.348439024,0.252089367,0.756,0.16,0.072,0
3,NA,NA,vm2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15,100,vm1,1,1,1,1,1,1,0.245644603,0.15790803,0.877,0.103,0.103,0.001
